organization_name,organization_user_name,organization_github_url,organization_website,organization_location,organization_avatar,organization_public_repos,organization_created,organization_last_update
pvlib,pvlib,https://github.com/pvlib,,,https://avatars.githubusercontent.com/u/11037261?v=4,4,"2015/02/17, 00:04:09","2021/11/22, 10:16:29"
SunPower,SunPower,https://github.com/SunPower,,,https://avatars.githubusercontent.com/u/1341977?v=4,18,"2012/01/18, 01:25:32","2021/10/29, 19:53:01"
Renewables.ninja,renewables-ninja,https://github.com/renewables-ninja,https://www.renewables.ninja/,,https://avatars.githubusercontent.com/u/11838260?v=4,4,"2015/04/07, 15:34:45","2021/11/17, 11:58:50"
National Renewable Energy Laboratory,NREL,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",https://avatars.githubusercontent.com/u/1906800?v=4,418,"2012/06/29, 17:27:07","2021/11/26, 22:19:17"
ZAE Bayern,zae-bayern,https://github.com/zae-bayern,https://www.zae-bayern.de,,https://avatars.githubusercontent.com/u/37119743?v=4,1,"2018/03/06, 18:23:04","2021/11/14, 07:10:32"
oemof community,oemof,https://github.com/oemof,https://oemof.org,Germany,https://avatars.githubusercontent.com/u/8503379?v=4,14,"2014/08/20, 13:57:29","2021/11/25, 08:29:10"
,pvcaptest,https://github.com/pvcaptest,,,https://avatars.githubusercontent.com/u/53880406?v=4,1,"2019/08/07, 21:24:28","2021/07/26, 13:43:32"
SLAC GISMo,slacgismo,https://github.com/slacgismo,https://gismo.slac.stanford.edu/,"SLAC National Accelerator Laboratory, Menlo Park, CA 94025",https://avatars.githubusercontent.com/u/19895500?v=4,60,"2016/06/12, 22:18:42","2021/11/13, 08:44:32"
TDcoSim Team,tdcosim,https://github.com/tdcosim,,Chicago,https://avatars.githubusercontent.com/u/52003368?v=4,2,"2019/06/19, 14:31:04","2021/10/16, 03:43:40"
MIT PVLab,PV-Lab,https://github.com/PV-Lab,pv.mit.edu,,https://avatars.githubusercontent.com/u/13911947?v=4,28,"2015/08/22, 01:48:35","2021/11/21, 15:35:01"
Quantum Photovoltaics Research Group,qpv-research-group,https://github.com/qpv-research-group,https://www.qpvgroup.org,"UNSW (Sydney, Australia) and Imperial College London (UK) until 2017",https://avatars.githubusercontent.com/u/48552948?v=4,4,"2019/03/14, 10:48:28","2021/11/26, 09:18:32"
,SolarTherm,https://github.com/SolarTherm,,,https://avatars.githubusercontent.com/u/15701216?v=4,1,"2015/11/07, 08:14:28","2021/10/22, 12:59:09"
Libre Solar Project,LibreSolar,https://github.com/LibreSolar,https://libre.solar,"Hamburg, Germany",https://avatars.githubusercontent.com/u/17674115?v=4,41,"2016/03/05, 14:11:47","2021/11/25, 14:45:33"
Open Climate Fix,openclimatefix,https://github.com/openclimatefix,openclimatefix.org,London,https://avatars.githubusercontent.com/u/48357542?v=4,29,"2019/03/08, 14:17:25","2021/11/26, 06:20:01"
The Alan Turing Institute,alan-turing-institute,https://github.com/alan-turing-institute,https://turing.ac.uk,,https://avatars.githubusercontent.com/u/18304793?v=4,285,"2016/04/06, 09:38:19","2021/11/26, 21:37:04"
,PerovskiteSCModelling,https://github.com/PerovskiteSCModelling,,,https://avatars.githubusercontent.com/u/45872822?v=4,1,"2018/12/14, 10:14:49","2021/11/25, 18:01:56"
,DuraMAT,https://github.com/DuraMAT,,,https://avatars.githubusercontent.com/u/55461754?v=4,4,"2019/09/17, 19:31:27","2021/09/10, 04:22:28"
RENTADRONE,RentadroneCL,https://github.com/RentadroneCL,https://rentadrone.cl/developers,"Santiago, Chile",https://avatars.githubusercontent.com/u/32961692?v=4,10,"2017/10/20, 14:47:56","2021/02/09, 22:16:37"
rOpenSci,ropensci,https://github.com/ropensci,https://ropensci.org/,"Berkeley, CA",https://avatars.githubusercontent.com/u/1200269?v=4,369,"2011/11/16, 19:26:47","2021/11/26, 22:23:09"
GRECO project,greco-project,https://github.com/greco-project,https://www.greco-project.eu/,,https://avatars.githubusercontent.com/u/50671643?v=4,7,"2019/05/15, 15:39:28","2021/07/28, 07:50:42"
Materials Design Group,WMD-group,https://github.com/WMD-group,https://wmd-group.github.io,London,https://avatars.githubusercontent.com/u/1716969?v=4,47,"2012/05/08, 13:09:23","2021/11/14, 09:52:37"
Ladybug Tools,ladybug-tools,https://github.com/ladybug-tools,ladybug.tools,Worldwide,https://avatars.githubusercontent.com/u/14942270?v=4,94,"2015/10/02, 14:44:55","2021/11/25, 16:16:47"
Open Solar Project,opensolarproject,https://github.com/opensolarproject,,,https://avatars.githubusercontent.com/u/53953954?v=4,2,"2019/08/09, 20:31:23","2021/11/14, 16:10:32"
National Renewable Energy Centre - CENER,iat-cener,https://github.com/iat-cener,https://www.cener.com,"Sarriguren, Spain",https://avatars.githubusercontent.com/u/12331888?v=4,5,"2015/05/08, 10:40:12","2021/02/27, 13:50:15"
Breaking Bytes,BreakingBytes,https://github.com/BreakingBytes,http://breaking-bytes.mikofski.io/,"Oakland, CA",https://avatars.githubusercontent.com/u/1437576?v=4,8,"2012/02/14, 18:47:57","2021/05/24, 17:54:29"
Solar Forecast Arbiter,SolarArbiter,https://github.com/SolarArbiter,https://solarforecastarbiter.org/,,https://avatars.githubusercontent.com/u/43686373?v=4,7,"2018/09/28, 20:51:29","2021/11/09, 22:11:47"
,IEAWindTask37,https://github.com/IEAWindTask37,,,https://avatars.githubusercontent.com/u/36546446?v=4,9,"2018/02/16, 17:54:51","2021/11/23, 15:21:50"
Google,google,https://github.com/google,https://opensource.google/,,https://avatars.githubusercontent.com/u/1342004?v=4,2140,"2012/01/18, 01:30:18","2021/11/26, 22:26:21"
,wind-python,https://github.com/wind-python,,,https://avatars.githubusercontent.com/u/21263042?v=4,2,"2016/08/26, 13:49:34","2021/11/26, 15:56:40"
turbinesFoam,turbinesFoam,https://github.com/turbinesFoam,,,https://avatars.githubusercontent.com/u/10404114?v=4,1,"2015/01/05, 16:15:55","2021/11/23, 08:57:22"
exawind,Exawind,https://github.com/Exawind,,,https://avatars.githubusercontent.com/u/22328575?v=4,18,"2016/09/20, 18:07:24","2021/11/23, 20:02:46"
OpenFAST,OpenFAST,https://github.com/OpenFAST,https://openfast.readthedocs.io,,https://avatars.githubusercontent.com/u/15838605?v=4,6,"2015/11/13, 20:08:25","2021/11/25, 02:32:16"
FZJ-IEK3,FZJ-IEK3-VSA,https://github.com/FZJ-IEK3-VSA,https://www.fz-juelich.de/iek/iek-3/EN/Home/home_node.html,Forschungszentrum Jülich,https://avatars.githubusercontent.com/u/28654423?v=4,15,"2017/05/12, 14:59:08","2021/11/26, 10:38:39"
WISDEM,WISDEM,https://github.com/WISDEM,https://nwtc.nrel.gov/WISDEM,"NREL National Wind Technology Center, Boulder, CO",https://avatars.githubusercontent.com/u/5444272?v=4,38,"2013/09/12, 13:13:39","2021/11/22, 22:39:54"
OpenMDAO,OpenMDAO,https://github.com/OpenMDAO,http://www.openmdao.org,,https://avatars.githubusercontent.com/u/861615?v=4,35,"2011/06/20, 12:20:08","2021/11/26, 12:29:57"
The Signal Intelligence Project,sintel-dev,https://github.com/sintel-dev,https://dai.lids.mit.edu/,,https://avatars.githubusercontent.com/u/13336772?v=4,9,"2015/07/14, 17:19:12","2021/11/26, 15:50:43"
,python-windrose,https://github.com/python-windrose,,,https://avatars.githubusercontent.com/u/28726174?v=4,1,"2017/05/16, 08:09:46","2021/11/24, 15:35:11"
Imperial College London,ImperialCollegeLondon,https://github.com/ImperialCollegeLondon,,Imperial College London,https://avatars.githubusercontent.com/u/1220306?v=4,332,"2011/11/25, 14:16:50","2021/11/26, 22:41:24"
brightwind,brightwind-dev,https://github.com/brightwind-dev,,,https://avatars.githubusercontent.com/u/45794645?v=4,2,"2018/12/11, 15:17:23","2021/11/08, 11:46:30"
Sandia National Laboratories Water Power Technologies,SNL-WaterPower,https://github.com/SNL-WaterPower,http://energy.sandia.gov/energy/renewable-energy/water-power/,"Albuquerque, NM",https://avatars.githubusercontent.com/u/5272629?v=4,13,"2013/08/20, 19:17:13","2021/11/21, 16:00:30"
Energy Modelling Toolkit ,energy-modelling-toolkit,https://github.com/energy-modelling-toolkit,,,https://avatars.githubusercontent.com/u/32776077?v=4,7,"2017/10/13, 16:18:58","2021/11/22, 12:54:32"
MHKiT,MHKiT-Software,https://github.com/MHKiT-Software,https://mhkit-software.github.io/MHKiT/,,https://avatars.githubusercontent.com/u/58954145?v=4,3,"2019/12/16, 19:06:48","2021/11/25, 20:43:49"
,hydro-python,https://github.com/hydro-python,,,https://avatars.githubusercontent.com/u/27208044?v=4,1,"2017/04/10, 11:14:27","2021/08/21, 07:58:06"
NREL-SIIP,NREL-SIIP,https://github.com/NREL-SIIP,https://www.nrel.gov/analysis/siip.html,"Golden, CO",https://avatars.githubusercontent.com/u/44615001?v=4,17,"2018/10/30, 15:55:32","2021/11/20, 20:33:56"
OpenSimHub,OpenSimHub,https://github.com/OpenSimHub,https://opensimhub.org,Norway,https://avatars.githubusercontent.com/u/90337436?v=4,2,"2021/09/08, 15:29:38","2021/11/25, 12:02:50"
,WEC-Sim,https://github.com/WEC-Sim,http://wec-sim.github.io/WEC-Sim/,,https://avatars.githubusercontent.com/u/7662103?v=4,8,"2014/05/21, 21:19:59","2021/11/17, 11:21:57"
BEMRosetta,BEMRosetta,https://github.com/BEMRosetta,,,https://avatars.githubusercontent.com/u/79283040?v=4,3,"2021/02/18, 20:22:35","2021/11/19, 23:22:15"
Los Alamos National Laboratory,lanl,https://github.com/lanl,https://www.lanl.gov/,"Los Alamos, New Mexico, USA",https://avatars.githubusercontent.com/u/585305?v=4,273,"2011/01/26, 20:40:10","2021/11/25, 20:27:31"
Waiwera,waiwera,https://github.com/waiwera,https://waiwera.github.io/,,https://avatars.githubusercontent.com/u/49133194?v=4,4,"2019/04/01, 00:18:48","2021/11/11, 19:14:11"
SmartTensors,SmartTensors,https://github.com/SmartTensors,http://SmartTensors.com,United States of America,https://avatars.githubusercontent.com/u/75088073?v=4,12,"2020/11/26, 16:24:48","2021/11/20, 03:51:57"
BioSTEAM Development Group,BioSTEAMDevelopmentGroup,https://github.com/BioSTEAMDevelopmentGroup,https://biosteam.readthedocs.io/en/latest/index.html,,https://avatars.githubusercontent.com/u/61621970?v=4,3,"2020/02/29, 12:12:31","2021/11/26, 05:24:15"
Alex Liberzon Lab,alexliberzonlab,https://github.com/alexliberzonlab,https://turbulencelab.sites.tau.ac.il,"Tel Aviv University, Tel Aviv, Israel",https://avatars.githubusercontent.com/u/2659993?v=4,87,"2012/10/26, 21:05:02","2021/09/05, 05:37:09"
ECS Hack Week ,ECSHackWeek,https://github.com/ECSHackWeek,,,https://avatars.githubusercontent.com/u/32744210?v=4,9,"2017/10/12, 16:10:20","2021/11/19, 08:18:39"
PyBaMM Team,pybamm-team,https://github.com/pybamm-team,https://www.pybamm.org/,,https://avatars.githubusercontent.com/u/48961907?v=4,10,"2019/03/26, 17:35:06","2021/11/26, 19:27:36"
Toyota Research Institute - Accelerated Materials Design & Discovery (AMDD),TRI-AMDD,https://github.com/TRI-AMDD,,,https://avatars.githubusercontent.com/u/62159728?v=4,12,"2020/03/13, 22:13:16","2021/11/19, 22:08:50"
QuESt,snl-quest,https://github.com/snl-quest,https://www.sandia.gov/ess-ssl/tools/quest/,,https://avatars.githubusercontent.com/u/50459090?v=4,1,"2019/05/09, 16:44:53","2021/11/26, 10:48:35"
,batterysim,https://github.com/batterysim,,,https://avatars.githubusercontent.com/u/26285431?v=4,6,"2017/03/08, 19:41:53","2021/09/28, 02:28:12"
,dsr-18,https://github.com/dsr-18,,,https://avatars.githubusercontent.com/u/50706126?v=4,2,"2019/05/16, 13:13:13","2021/10/26, 12:52:51"
EPRI (private),epri-dev,https://github.com/epri-dev,http://www.epri.com,"Palo Alto, CA",https://avatars.githubusercontent.com/u/10049875?v=4,38,"2014/12/02, 16:40:58","2021/11/16, 21:45:55"
ECSIM,ECSIM,https://github.com/ECSIM,https://www.ecsim.ir/,"Tehran, Iran",https://avatars.githubusercontent.com/u/34425602?v=4,5,"2017/12/10, 21:17:19","2021/10/26, 10:12:50"
,e2nIEE,https://github.com/e2nIEE,,"Kassel, Germany",https://avatars.githubusercontent.com/u/40853245?v=4,8,"2018/07/05, 08:23:53","2021/11/26, 10:43:07"
Sandia National Laboratories,sandialabs,https://github.com/sandialabs,https://software.sandia.gov,United States,https://avatars.githubusercontent.com/u/4993680?v=4,133,"2013/07/12, 01:06:29","2021/11/26, 16:18:17"
advanced network science initiative,lanl-ansi,https://github.com/lanl-ansi,https://lanl-ansi.github.io/,"Los Alamos, NM",https://avatars.githubusercontent.com/u/17053288?v=4,68,"2016/02/03, 20:22:23","2021/11/24, 20:20:29"
HPXML Working Group,hpxmlwg,https://github.com/hpxmlwg,http://hpxmlonline.com,,https://avatars.githubusercontent.com/u/9216350?v=4,1,"2014/10/14, 14:51:59","2021/07/20, 16:14:49"
Building and Urban Data Science (BUDS) Group,buds-lab,https://github.com/buds-lab,www.budslab.org,Singapore,https://avatars.githubusercontent.com/u/26264086?v=4,49,"2017/03/08, 01:18:36","2021/11/24, 06:00:21"
,VOLTTRON,https://github.com/VOLTTRON,http://volttron.org,,https://avatars.githubusercontent.com/u/5875448?v=4,49,"2013/11/07, 02:07:05","2021/11/21, 04:44:46"
HIT2GAP,HIT2GAP-EU-PROJECT,https://github.com/HIT2GAP-EU-PROJECT,http://www.hit2gap.eu/,,https://avatars.githubusercontent.com/u/27004362?v=4,3,"2017/04/07, 09:29:26","2021/08/31, 09:56:33"
Standard Energy Efficiency Data Platform™,SEED-platform,https://github.com/SEED-platform,http://energy.gov/eere/buildings/standard-energy-efficiency-data-platform,,https://avatars.githubusercontent.com/u/7445100?v=4,12,"2014/04/30, 01:22:10","2021/11/19, 21:16:44"
"Ecotope, Inc.",EcotopeResearch,https://github.com/EcotopeResearch,www.ecotope.com,"Seattle, WA",https://avatars.githubusercontent.com/u/10763891?v=4,14,"2015/01/29, 21:09:13","2021/10/27, 21:31:18"
RWTH Aachen University - E.ON Energy Research Center - Institute for Energy Efficient Buildings and Indoor Climate,RWTH-EBC,https://github.com/RWTH-EBC,http://www.ebc.eonerc.rwth-aachen.de/,"RWTH Aachen University, Aachen, Germany",https://avatars.githubusercontent.com/u/8121773?v=4,37,"2014/07/10, 07:05:06","2021/11/26, 04:09:05"
Architecture and Building Systems,architecture-building-systems,https://github.com/architecture-building-systems,http://systems.arch.ethz.ch,,https://avatars.githubusercontent.com/u/8478952?v=4,40,"2014/08/18, 11:27:30","2021/11/24, 08:24:47"
,lbl-srg,https://github.com/lbl-srg,,,https://avatars.githubusercontent.com/u/3753398?v=4,13,"2013/03/03, 05:09:58","2021/11/26, 22:42:47"
OpenIDEAS,open-ideas,https://github.com/open-ideas,,,https://avatars.githubusercontent.com/u/5467967?v=4,5,"2013/09/16, 08:15:06","2021/11/08, 11:47:01"
,HotMaps,https://github.com/HotMaps,https://www.hotmaps-project.eu/,,https://avatars.githubusercontent.com/u/25738377?v=4,44,"2017/02/13, 08:38:39","2021/11/17, 06:19:04"
,EDF-TREE,https://github.com/EDF-TREE,,,https://avatars.githubusercontent.com/u/16956822?v=4,2,"2016/01/29, 12:37:54","2021/11/08, 11:47:01"
CSTB,cstb,https://github.com/cstb,http://www.cstb.fr,"290 route des lucioles, 06904 Sophia Antipolis, FRANCE",https://avatars.githubusercontent.com/u/1405833?v=4,8,"2012/02/03, 15:50:03","2021/04/21, 14:10:17"
UdK-VPT,UdK-VPT,https://github.com/UdK-VPT,http://www.arch.udk-berlin.de/vpt,Berlin,https://avatars.githubusercontent.com/u/10708399?v=4,14,"2015/01/26, 12:42:15","2021/11/15, 07:19:08"
IBPSA,ibpsa,https://github.com/ibpsa,http://www.ibpsa.org,Worldwide,https://avatars.githubusercontent.com/u/16223588?v=4,10,"2015/12/09, 11:31:41","2021/11/26, 20:08:57"
,TEB-model,https://github.com/TEB-model,,,https://avatars.githubusercontent.com/u/44439852?v=4,2,"2018/10/24, 14:33:32","2021/09/30, 08:25:38"
,CenterForTheBuiltEnvironment,https://github.com/CenterForTheBuiltEnvironment,http://cbe.berkeley.edu,"Berkeley, CA",https://avatars.githubusercontent.com/u/6592546?v=4,22,"2014/02/05, 07:39:33","2021/11/16, 01:48:34"
DSMR-reader,dsmrreader,https://github.com/dsmrreader,https://dsmr-reader.readthedocs.io,Netherlands,https://avatars.githubusercontent.com/u/57727360?v=4,1,"2019/11/13, 19:08:44","2021/11/23, 16:21:48"
LBNL Energy Technologies Area,LBNL-ETA,https://github.com/LBNL-ETA,http://eta.lbl.gov,"Berkeley, CA",https://avatars.githubusercontent.com/u/14825882?v=4,54,"2015/09/24, 17:57:57","2021/11/22, 10:39:31"
Brick Schema,BrickSchema,https://github.com/BrickSchema,https://brickschema.org/,,https://avatars.githubusercontent.com/u/41708328?v=4,13,"2018/07/25, 22:44:33","2021/11/25, 07:31:17"
,LBNL-JCI-ICF,https://github.com/LBNL-JCI-ICF,,,https://avatars.githubusercontent.com/u/43547106?v=4,1,"2018/09/24, 15:52:22","2021/11/22, 18:02:24"
,nilmtk,https://github.com/nilmtk,,,https://avatars.githubusercontent.com/u/6094836?v=4,7,"2013/12/03, 11:35:23","2021/11/15, 06:21:11"
volkszaehler.org project,volkszaehler,https://github.com/volkszaehler,https://volkszaehler.org,Germany,https://avatars.githubusercontent.com/u/340617?v=4,7,"2010/07/22, 09:32:52","2021/11/20, 13:46:19"
RE-Lab-Projects,RE-Lab-Projects,https://github.com/RE-Lab-Projects,,,https://avatars.githubusercontent.com/u/81230534?v=4,5,"2021/03/23, 10:22:20","2021/11/10, 12:37:52"
ECMWF projects,ecmwf-projects,https://github.com/ecmwf-projects,www.ecmwf.int,,https://avatars.githubusercontent.com/u/75486320?v=4,5,"2020/12/04, 13:45:55","2021/11/26, 19:40:15"
"STU-IET, JRC-EC",JRCSTU,https://github.com/JRCSTU,https://ec.europa.eu/jrc/en/about/institutes-and-directorates/jrc-iet,"Ispra (VA), Italy",https://avatars.githubusercontent.com/u/13638890?v=4,10,"2015/08/04, 08:21:18","2021/11/08, 12:20:07"
NewMotion,NewMotion,https://github.com/NewMotion,https://newmotion.com,"Amsterdam, Netherlands",https://avatars.githubusercontent.com/u/799802?v=4,50,"2011/05/20, 06:41:08","2021/11/04, 19:56:41"
The Mobility House,mobilityhouse,https://github.com/mobilityhouse,https://mobilityhouse.com/,"Munich, Germany",https://avatars.githubusercontent.com/u/5763064?v=4,40,"2013/10/24, 06:56:02","2021/11/25, 10:56:28"
MaaS Global Ltd,maasglobal,https://github.com/maasglobal,https://maas.global,Finland,https://avatars.githubusercontent.com/u/17618385?v=4,37,"2016/03/03, 14:46:49","2021/11/26, 14:39:46"
CoopCycle,coopcycle,https://github.com/coopcycle,https://coopcycle.org,"Paris, France",https://avatars.githubusercontent.com/u/24247863?v=4,14,"2016/11/29, 12:07:16","2021/11/26, 13:40:49"
,EVNotify,https://github.com/EVNotify,,,https://avatars.githubusercontent.com/u/45699245?v=4,25,"2018/12/07, 20:28:40","2021/11/11, 19:29:02"
diowa,diowa,https://github.com/diowa,diowa.com,Italy,https://avatars.githubusercontent.com/u/2099801?v=4,33,"2012/08/05, 21:07:29","2021/11/25, 08:23:18"
STS Rosario,STS-Rosario,https://github.com/STS-Rosario,http://www.stsrosario.org.ar/index.html,Rosario,https://avatars.githubusercontent.com/u/24493883?v=4,2,"2016/12/10, 14:07:42","2021/11/03, 21:52:32"
OpenEVSE,OpenEVSE,https://github.com/OpenEVSE,http://www.openevse.com,,https://avatars.githubusercontent.com/u/14914533?v=4,16,"2015/09/30, 20:32:19","2021/11/24, 21:18:53"
KISIO Digital,CanalTP,https://github.com/CanalTP,https://kisio.com/metiers/solutions-digitales/,Paris,https://avatars.githubusercontent.com/u/2743985?v=4,169,"2012/11/07, 15:32:34","2021/11/26, 13:32:27"
Open Mobility Foundation,openmobilityfoundation,https://github.com/openmobilityfoundation,http://www.openmobilityfoundation.org/,,https://avatars.githubusercontent.com/u/52187191?v=4,9,"2019/06/25, 03:08:20","2021/11/23, 18:54:57"
MDO Lab,mdolab,https://github.com/mdolab,mdolab.engin.umich.edu,,https://avatars.githubusercontent.com/u/26934866?v=4,23,"2017/04/05, 17:41:35","2021/11/25, 14:48:49"
Open Charge Map,openchargemap,https://github.com/openchargemap,http://openchargemap.org,,https://avatars.githubusercontent.com/u/2486335?v=4,6,"2012/10/04, 12:42:05","2021/11/16, 12:07:51"
,evcc-io,https://github.com/evcc-io,https://evcc.io,Germany,https://avatars.githubusercontent.com/u/81383504?v=4,7,"2021/03/25, 18:12:52","2021/11/26, 22:14:40"
"RWTH Aachen University, Informatik 5, IDSG",RWTH-i5-IDSG,https://github.com/RWTH-i5-IDSG,https://rwth-i5-idsg.github.io,"Aachen, Germany",https://avatars.githubusercontent.com/u/3355315?v=4,19,"2013/01/23, 14:41:58","2021/11/26, 06:55:55"
Switch,SwitchEV,https://github.com/SwitchEV,https://www.switch-ev.com,"London, UK",https://avatars.githubusercontent.com/u/30324321?v=4,8,"2017/07/20, 17:19:27","2021/11/18, 15:38:36"
VoCol - Vocabulary collaboration and build environment,vocol,https://github.com/vocol,https://github.com/vocol/vocol,,https://avatars.githubusercontent.com/u/8235117?v=4,15,"2014/07/22, 12:44:17","2021/11/05, 09:21:10"
OneBusAway,OneBusAway,https://github.com/OneBusAway,https://github.com/OneBusAway/onebusaway/wiki,,https://avatars.githubusercontent.com/u/1428806?v=4,52,"2012/02/11, 11:58:06","2021/11/25, 17:13:23"
BlinkTag,BlinkTagInc,https://github.com/BlinkTagInc,https://blinktag.com,"San Francisco, CA",https://avatars.githubusercontent.com/u/12618433?v=4,32,"2015/05/26, 23:48:06","2021/11/26, 20:40:42"
SYSTRA,systragroup,https://github.com/systragroup,https://www.systra.com,,https://avatars.githubusercontent.com/u/45179084?v=4,6,"2018/11/19, 17:54:19","2021/11/23, 02:54:34"
"Ifsttar - French Institute of Science and Technology for Transport, Development and Networks",Ifsttar,https://github.com/Ifsttar,http://www.ifsttar.fr,France,https://avatars.githubusercontent.com/u/7008647?v=4,14,"2014/03/20, 08:27:00","2021/11/15, 16:28:44"
CyclOSM,cyclosm,https://github.com/cyclosm,,,https://avatars.githubusercontent.com/u/47216240?v=4,3,"2019/01/31, 13:44:52","2021/11/25, 14:02:22"
Paderborn University - LEA,upb-lea,https://github.com/upb-lea,https://ei.uni-paderborn.de/en/lea/,"Paderborn, Germany",https://avatars.githubusercontent.com/u/55782224?v=4,12,"2019/09/25, 07:15:50","2021/11/26, 13:55:58"
LBNL/UCB - Sustainable Transportation Initiative,LBNL-UCB-STI,https://github.com/LBNL-UCB-STI,,"Berkeley, CA",https://avatars.githubusercontent.com/u/26527414?v=4,29,"2017/03/19, 18:53:25","2021/11/26, 19:04:03"
Open Charging Cloud,OpenChargingCloud,https://github.com/OpenChargingCloud,https://open.charging.cloud,"Jena, Germany",https://avatars.githubusercontent.com/u/17928234?v=4,46,"2016/03/18, 13:04:49","2021/11/16, 06:02:45"
RAMP,RAMP-project,https://github.com/RAMP-project,,,https://avatars.githubusercontent.com/u/65850039?v=4,2,"2020/05/24, 09:33:25","2021/11/25, 13:29:47"
